#Timestamp	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	CPU Voltage(V)	CPU Power(W)	L1_DATA_CACHE_ACCESS	CPU_CYCLES	L1_INSTR_CACHE_ACCESS	BUS_CYCLES	BUS_ACCESS_PERIPHERAL	BRANCH_SPECULATIVELY_EXECUTED_PROCEDURE_RETURN
22845 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.002184 0.005027 0.002507 0.005086 0.000001 0.000071 
22955 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001324 0.003422 0.001458 0.003470 0.000001 0.000093 
23065 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.000533 0.001767 0.000720 0.001811 0.000001 0.000042 
23175 consumer_jpeg_d 1 204 25 0.842000 0.231000  0.001608 0.003840 0.001871 0.003890 0.000001 0.000059 
23287 consumer_jpeg_d 1 204 25 0.842000 0.462000  0.098636 0.254367 0.111470 0.254453 0.000011 0.004939 
23397 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.001004 0.004361 0.001473 0.004436 0.000001 0.000093 
23508 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001531 0.003822 0.001721 0.003892 0.000001 0.000108 
23619 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.021177 0.058761 0.023471 0.058829 0.000011 0.001371 
23737 consumer_jpeg_d 1 204 25 0.842000 0.385000  0.001478 0.005810 0.001966 0.005875 0.000002 0.000116 
23847 consumer_jpeg_d 1 204 25 0.842000 0.308000  0.000344 0.001318 0.000509 0.001385 0.000001 0.000038 
